"video_id","feature_names"
"facebook10154250892403387","Outdoors, Night, Fireworks, Animal, Nature, Sea, Ocean, Water, Reef, Sea Life, Coral Reef, Flyer, Poster, Brochure, Paper"
"facebook10154256852289213","Plant, Flora, Human, People, Person, Food, Produce, Sprout, Furniture, Crib, Cradle, Vegetable, Carton, Soil, Potato, Box, Cardboard, Sweets, Confectionery, Plywood"
"facebook10154275353900891","Person, People, Human, Wood, Hardwood, Logo, Trademark, Bowl, Dairy, Food, Creme, Cream, Dessert, Furniture, Table, Coffee Table, Ham, Plant, Flora, Milk"
"facebook10154293698607922","Michael Gregoritsch, Dan Kimball, Alan Jones"
"brightcove5221070212001","TEXT_BOTTOM_RIGHT, TEXT_BOTTOM_LEFT, Automobile, Car, Light, Transportation, Convertible, Vehicle, Neon, TEXT_BOTTOM_CENTER, Word, Headlight, Windshield, Alphabet, Ampersand, Text, Gearshift, Logo, Trademark, People"
"brightcove5523666731001","Person, People, Human, Poster, Flyer, Paper, Brochure, TEXT_TOP_LEFT, TEXT_MIDDLE_CENTER, TEXT_MIDDLE_LEFT, TEXT_TOP_CENTER, Word, Automobile, Car, Transportation, Road, Billboard, Freeway, Logo, Trademark"
"brightcove5544987699001","Poster, Paper, Brochure, Flyer, Human, Person, People, TEXT_TOP_LEFT, Collage, Audience, Speech, Crowd, Word, TEXT_TOP_RIGHT, TEXT_TOP_CENTER, TEXT_BOTTOM_CENTER, Logo, Trademark, Nature, Storm"
"brightcove5576079730001","Logo, Trademark, Freeway, Road, Badge, Asphalt, Tarmac, Highway, Emblem, Skyscraper, Architecture, Building, Urban, Town, City, High Rise, Tire, Triangle"
"brightcove5662210962001","Road, Turbine, Wind Turbine, Engine, Dirt Road, Gravel, Nature, Tarmac, Asphalt, Beacon, Landscape, Outdoors, Aerial View, Scenery, Machine, Motor, Soil, Airplane, Glider, Desert"
"brightcove5746248135001","People, Person, Human, Transportation, Vehicle, Driving, Automobile, Car, Airplane, Road, Freeway, Aircraft, Convertible, Flora, Plant, Palm Tree, Tree, Arecaceae, GPS, Beard"
