"videoid;""analysistype"";""score"";""type"";""text"";""section"";""source""",
"facebook1386460418125111;""KeyPhrases"";0","998623609542847;;""scientific breakthroughs"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","997296690940857;;""vomiting"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","996576845645904;;""a therapist"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999123394489288;;""This miracle"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","962812066078186;""QUANTITY"";""about 4%"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","999995112419128;""QUANTITY"";""first"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","999991416931152;""QUANTITY"";""one treatment"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","998956799507141;;""six months"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","98979377746582;;""severe symptoms"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","992411077022552;;""the lid"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","995621263980866;;""60 days"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","964893758296967;;""le"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","978897511959076;;""that live form"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","991956830024719;;""sick people"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","861854374408722;""QUANTITY"";""about half a million patients a year"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","99532026052475;;""Harvard"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","996831893920898;;""weight"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","996564567089081;;""antibiotic"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","991585671901703;;""a twilight"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","98314243555069;;""the surgery"";1;""subtitles"""
"facebook1386460418125111;""Entities"";0","999974489212036;""OTHER"";""HIV"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","995981156826019;;""every poo"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","997643768787384;;""just 25 years"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","999911248683929;""QUANTITY"";""100%"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","975604295730591;;""hospitals"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","998973608016968;;""the last year"";1;""subtitles"""
"facebook1386460418125111;""Entities"";0","992514908313751;""QUANTITY"";""60 days"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","975462198257446;;""somebody else"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","991876304149628;;""C. Diff"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","945505082607269;;""good bacteria"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","984708070755005;;""the liquid"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","987384617328644;;""a Cool Whip container"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","769123256206512;;""an avatar"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","997850120067596;;""the top"";1;""subtitles"""
"facebook1386460418125111;""Entities"";0","736349582672119;""QUANTITY"";""an hour"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","938543856143951;;""healthy donors"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","995353639125824;;""a little"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","996129214763641;;""’s colon"";0;""subtitles"""
