"video_id","name","attribute_type"
"facebook10154410776394205","Hand","Rekognition Labels"
"facebook10155026108719205","Hand","Rekognition Labels"
"facebook10153734907314205","Hand","Rekognition Labels"
"facebook10154146814364205","Hand","Rekognition Labels"
"facebook10154875776849205","Limo","Rekognition Labels"
"facebook10154795623289205","Park","Rekognition Labels"
"facebook10155095401364205","Road","Rekognition Labels"
"facebook10154768807754205","Road","Rekognition Labels"
"facebook10153689741269205","Team","Rekognition Labels"
"facebook10154699846294205","Vest","Rekognition Labels"
"facebook10154706413024205","X-Ray","Rekognition Labels"
"facebook10155246037139205","X-Ray","Rekognition Labels"
"facebook10153752516194205","Army","Rekognition Labels"
"facebook10155156653569205","Army","Rekognition Labels"
"facebook10153528453574205","Art","Rekognition Labels"
"facebook1386460418125111","Astronomy","Rekognition Labels"
"facebook10154875776849205","Bling","Rekognition Labels"
"facebook10154875697474205","Captain","Rekognition Labels"
"facebook1386460418125111","Chocolate","Rekognition Labels"
"facebook10154248538534205","Coat","Rekognition Labels"
"facebook10154512789279205","Coat","Rekognition Labels"
"facebook10154495684584205","Coat","Rekognition Labels"
"facebook10154405732959205","Coat","Rekognition Labels"
"facebook10154875776849205","Coat","Rekognition Labels"
"facebook10154870267304205","Coat","Rekognition Labels"
"facebook10153552898479205","Hand","Rekognition Labels"
"facebook10155156653569205","Hand","Rekognition Labels"
"facebook10154448823304205","Hand","Rekognition Labels"
"facebook10154494316084205","Hand","Rekognition Labels"
"facebook10153752474144205","Hand","Rekognition Labels"
"facebook10154955635619205","Military","Rekognition Labels"
"facebook10154875697474205","Military","Rekognition Labels"
"facebook10154058667789205","Military","Rekognition Labels"
"facebook10154047997774205","Modern Art","Rekognition Labels"
"facebook10155254306404205","Motorcycle","Rekognition Labels"
"facebook10155150397374205","X-Ray","Rekognition Labels"
"facebook10154699846294205","X-Ray","Rekognition Labels"
"facebook10155147853909205","Army","Rekognition Labels"
"facebook10154581247679205","Art","Rekognition Labels"
"facebook10154448823304205","Art","Rekognition Labels"
"facebook10154875776849205","Captain","Rekognition Labels"
"facebook10155026108719205","Coat","Rekognition Labels"
"facebook10153552924729205","Badge","Rekognition Labels"
"facebook10154475706859205","Blonde","Rekognition Labels"
"facebook10153929545604205","Blonde","Rekognition Labels"
"facebook10154875697474205","Envelope","Rekognition Labels"
"facebook10154495684584205","Head","Rekognition Labels"
"facebook10155071157144205","Head","Rekognition Labels"
"facebook10155011149294205","Head","Rekognition Labels"
"facebook10155246037139205","Head","Rekognition Labels"
"facebook10155035197919205","Mouth","Rekognition Labels"
"facebook10153821725409205","Musical","Rekognition Labels"
"facebook10154410776394205","Robe","Rekognition Labels"
"facebook10154859927574205","Shirt","Rekognition Labels"
"facebook10154986308819205","Shirt","Rekognition Labels"
"facebook10155121139949205","Shirt","Rekognition Labels"
"facebook10155147853909205","Shirt","Rekognition Labels"
"facebook10154935736199205","Speech","Rekognition Labels"
"facebook10153752474144205","Tree","Rekognition Labels"
"facebook10155965696925891","Tree","Rekognition Labels"
"facebook10154507958999205","Wrist","Rekognition Labels"
"facebook10155150397374205","Badge","Rekognition Labels"
"facebook10153552924729205","Blonde","Rekognition Labels"
"facebook10155131927994205","Blonde","Rekognition Labels"
"facebook10155017669219205","Blonde","Rekognition Labels"
"facebook10154946550999205","Envelope","Rekognition Labels"
"facebook10154990092349205","Envelope","Rekognition Labels"
"facebook10154672059924205","Envelope","Rekognition Labels"
"facebook10154747079194205","Hardhat","Rekognition Labels"
"facebook10153929545604205","Head","Rekognition Labels"
"facebook10153734907314205","Head","Rekognition Labels"
"facebook10154875697474205","Head","Rekognition Labels"
"facebook10154990092349205","House","Rekognition Labels"
"facebook10153929545604205","Kiosk","Rekognition Labels"
"facebook10155065918454205","Mouth","Rekognition Labels"
"facebook10154912630909205","Musical","Rekognition Labels"
"facebook10154146814364205","Shirt","Rekognition Labels"
"facebook10154058667789205","Shirt","Rekognition Labels"
"facebook10155071525564205","Shirt","Rekognition Labels"
"facebook10154405732959205","Shirt","Rekognition Labels"
"facebook10154475706859205","Shirt","Rekognition Labels"
"facebook10154893718034205","Speech","Rekognition Labels"
